41	17	5.91	0.18	44986	
41	1	6.09	0.17	44986	
41	5	5.94	0.19	44986	
41	12	6.09	0.17	44986	
41	13	6.09	0.17	44986	
41	18	5.91	0.18	44986	
41	19	5.91	0.18	44986	
41	20	5.91	0.18	44986	
41	21	5.91	0.18	44986	
41	22	6.09	0.17	44986	
41	24	5.91	0.18	44986	
41	26	5.91	0.19	44986	
41	27	5.91	0.18	44986	
41	28	5.94	0.17	44986	
41	29	5.91	0.18	44986	
41	31	5.91	0.18	44986	
41	37	5.94	0.17	44986	
41	38	5.91	0.18	44986	
41	39	5.91	0.18	44986	
41	41	5.91	0.18	44986	
41	45	6.09	0.17	44986	
41	46	5.91	0.18	44986	
41	47	5.91	0.18	44986	
41	51	5.91	0.18	44986	
41	54	5.91	0.18	44986	
41	55	5.91	0.18	44986	
41	40	5.91	0.17	44986	
41	48	5.91	0.17	44986	
81	17	13.76	0.13	44986	
81	1	13.69	0.14	44986	
81	5	13.65	0.14	44986	
81	12	13.69	0.14	44986	
81	13	13.69	0.14	44986	
81	18	13.76	0.13	44986	
81	19	13.76	0.13	44986	
81	20	13.76	0.13	44986	
81	21	13.76	0.13	44986	
81	22	13.65	0.14	44986	
81	24	13.8	0.13	44986	
81	26	13.76	0.13	44986	
81	27	13.76	0.13	44986	
81	28	13.65	0.14	44986	
81	29	13.76	0.13	44986	
81	31	13.76	0.13	44986	
81	37	13.69	0.14	44986	
81	38	13.76	0.13	44986	
81	39	13.76	0.13	44986	
81	41	13.76	0.13	44986	
81	45	13.69	0.14	44986	
81	46	13.76	0.13	44986	
81	47	13.76	0.13	44986	
81	51	13.8	0.13	44986	
81	54	13.8	0.13	44986	
81	55	13.76	0.13	44986	
81	40	13.8	0.13	44986	
81	48	13.76	0.13	44986	
11	17	7.25	0.24	44438	
11	1	7.25	0.24	44438	
11	5	7.25	0.24	44438	
11	12	7.25	0.24	44438	
11	13	7.25	0.24	44438	
11	18	7.25	0.24	44438	
11	19	7.25	0.24	44438	
11	20	7.25	0.24	44438	
11	21	7.25	0.24	44438	
11	22	7.25	0.24	44438	
11	24	7.25	0.24	44438	
11	26	7.25	0.24	44438	
11	27	7.25	0.24	44438	
11	28	7.25	0.24	44438	
11	29	7.25	0.24	44438	
11	31	7.25	0.24	44438	
11	37	7.25	0.24	44438	
11	38	7.25	0.24	44438	
11	39	7.25	0.24	44438	
11	41	7.25	0.24	44438	
11	45	7.25	0.24	44438	
11	46	7.25	0.24	44438	
11	47	7.25	0.24	44438	
11	51	7.25	0.24	44438	
11	54	7.25	0.24	44438	
11	55	7.25	0.24	44438	
11	40	7.25	0.24	44438	
11	48	7.25	0.24	44438	
