510581128043	81401
510581128053	81201
510581128094	81101
510581128095	81101
510581128725	81401
510581128726	81401
510581128727	81201
510581128728	81201
510581128739	81101
510581128740	81101
510581128741	81101
510581128742	81101
510781128043	81201
510781128053	81101
510781128094	81051
510781128095	81051
510781128725	81201
510781128726	81201
510781128727	81101
510781128728	81101
510781128739	81051
510781128740	81051
510781128741	81051
510781128742	81051
511181128043	81101
511181128053	81051
511181128094	81021
511181128095	81021
511181128725	81101
511181128726	81101
511181128727	81051
511181128728	81051
511181128739	81021
511181128740	81021
511181128741	81021
511181128742	81021
511581128043	81201
511581128053	81101
511581128094	81051
511581128095	81051
511581128725	81201
511581128726	81201
511581128727	81101
511581128728	81101
511581128739	81051
511581128740	81051
511581128741	81051
511581128742	81051
511781128043	81101
511781128053	81101
511781128094	81051
511781128095	81051
511781128725	81101
511781128726	81101
511781128727	81101
511781128728	81101
511781128739	81051
511781128740	81051
511781128741	81051
511781128742	81051
511981128043	81401
511981128053	81301
511981128094	81101
511981128095	81101
511981128725	81401
511981128726	81401
511981128727	81301
511981128728	81301
511981128739	81101
511981128740	81101
511981128741	81101
511981128742	81101
512181128043	81101
512181128053	81051
512181128094	81021
512181128095	81051
512181128725	81101
512181128726	81101
512181128727	81051
512181128728	81051
512181128739	81021
512181128740	81021
512181128741	81051
512181128742	81051
512381128043	81201
512381128053	81101
512381128094	81051
512381128095	81051
512381128725	81201
512381128726	81201
512381128727	81101
512381128728	81101
512381128739	81051
512381128740	81051
512381128741	81051
512381128742	81051
513181128043	81201
513181128053	81101
513181128094	81051
513181128095	81051
513181128725	81201
513181128726	81201
513181128727	81101
513181128728	81101
513181128739	81051
513181128740	81051
513181128741	81051
513181128742	81051
513381128043	81501
513381128053	81301
513381128094	81101
513381128095	81101
513381128725	81501
513381128726	81501
513381128727	81301
513381128728	81301
513381128739	81101
513381128740	81101
513381128741	81101
513381128742	81101
514581128043	81201
514581128053	81201
514581128094	81101
514581128095	81101
514581128725	81201
514581128726	81201
514581128727	81201
514581128728	81201
514581128739	81101
514581128740	81101
514581128741	81101
514581128742	81101
514781128043	81301
514781128053	81201
514781128094	81051
514781128095	81051
514781128725	81301
514781128726	81301
514781128727	81201
514781128728	81201
514781128739	81051
514781128740	81051
514781128741	81051
514781128742	81051
514981128043	81201
514981128053	81101
514981128094	81051
514981128095	81051
514981128725	81201
514981128726	81201
514981128727	81101
514981128728	81101
514981128739	81051
514981128740	81051
514981128741	81051
514981128742	81051
1200111011002	11101
1200111011003	11201
1200111011702	11101
1200111011712	11101
1200111011713	11201
1200111011714	11201
1200141016002	41021
1200141016003	41201
1200141016702	41021
1200141016712	41021
1200141016713	41201
1200141016714	41201
1200141026002	41021
1200141026003	41101
1200141026702	41021
1200141026712	41021
1200141026713	41101
1200141026714	41101
1200181997002	81101
1200181997003	81301
1200181997702	81101
1200181997712	81101
1200181997713	81301
1200181997714	81301
1200741016002	41021
1200741016003	41101
1200741016702	41021
1200741016712	41021
1200741016713	41101
1200741016714	41101
1200741026002	41021
1200741026003	41101
1200741026702	41021
1200741026712	41021
1200741026713	41101
1200741026714	41101
1200781997002	81101
1200781997003	81301
1200781997702	81101
1200781997712	81101
1200781997713	81301
1200781997714	81301
1201311011002	11301
1201311011003	11301
1201311011702	11301
1201311011712	11301
1201311011713	11301
1201311011714	11301
1201341016002	41051
1201341016003	41301
1201341016702	41051
1201341016712	41051
1201341016713	41301
1201341016714	41301
1201341026002	41051
1201341026003	41301
1201341026702	41051
1201341026712	41051
1201341026713	41301
1201341026714	41301
1201381997002	81101
1201381997003	81301
1201381997702	81101
1201381997712	81101
1201381997713	81301
1201381997714	81301
1202311011002	11201
1202311011003	11301
1202311011702	11201
1202311011712	11201
1202311011713	11301
1202311011714	11301
1202341016002	41021
1202341016003	41101
1202341016702	41021
1202341016712	41021
1202341016713	41101
1202341016714	41101
1202341026002	41021
1202341026003	41101
1202341026702	41021
1202341026712	41021
1202341026713	41101
1202341026714	41101
1202381997002	81051
1202381997003	81201
1202381997702	81051
1202381997712	81051
1202381997713	81201
1202381997714	81201
1202941016002	41021
1202941016003	41201
1202941016702	41021
1202941016712	41021
1202941016713	41201
1202941016714	41201
1202941026002	41021
1202941026003	41201
1202941026702	41021
1202941026712	41021
1202941026713	41201
1202941026714	41201
1203311011002	11051
1203311011003	11051
1203311011702	11051
1203311011712	11051
1203311011713	11051
1203311011714	11051
1203341016002	41021
1203341016003	41101
1203341016702	41021
1203341016712	41021
1203341016713	41101
1203341016714	41101
1203341026002	41021
1203341026003	41101
1203341026702	41021
1203341026712	41021
1203341026713	41101
1203341026714	41101
1203381997002	81021
1203381997003	81051
1203381997702	81021
1203381997712	81021
1203381997713	81051
1203381997714	81051
1203541016002	41021
1203541016003	41101
1203541016702	41021
1203541016712	41021
1203541016713	41101
1203541016714	41101
1203541026002	41021
1203541026003	41101
1203541026702	41021
1203541026712	41021
1203541026713	41101
1203541026714	41101
1203911011002	11201
1203911011003	11201
1203911011702	11201
1203911011712	11201
1203911011713	11201
1203911011714	11201
1203941016002	41021
1203941016003	41101
1203941016702	41021
1203941016712	41021
1203941016713	41101
1203941016714	41101
1203941026002	41021
1203941026003	41101
1203941026702	41021
1203941026712	41021
1203941026713	41101
1203941026714	41101
1203981997002	81051
1203981997003	81201
1203981997702	81051
1203981997712	81051
1203981997713	81201
1203981997714	81201
1204111011002	11201
1204111011003	11301
1204111011702	11201
1204111011712	11201
1204111011713	11301
1204111011714	11301
1204141016002	41021
1204141016003	41101
1204141016702	41021
1204141016712	41021
1204141016713	41101
1204141016714	41101
1204141026002	41021
1204141026003	41101
1204141026702	41021
1204141026712	41021
1204141026713	41101
1204141026714	41101
1204181997002	81051
1204181997003	81201
1204181997702	81051
1204181997712	81051
1204181997713	81201
1204181997714	81201
1204511011002	11201
1204511011003	11301
1204511011702	11201
1204511011712	11201
1204511011713	11301
1204511011714	11301
1204711011002	11201
1204711011003	11301
1204711011702	11201
1204711011712	11201
1204711011713	11301
1204711011714	11301
1204741016002	41021
1204741016003	41201
1204741016702	41021
1204741016712	41021
1204741016713	41201
1204741016714	41201
1204741026002	41021
1204741026003	41201
1204741026702	41021
1204741026712	41021
1204741026713	41201
1204741026714	41201
1204781997002	81021
1204781997003	81101
1204781997702	81021
1204781997712	81021
1204781997713	81101
1204781997714	81101
1205911011002	11301
1205911011003	11301
1205911011702	11301
1205911011712	11301
1205911011713	11301
1205911011714	11301
1205941016002	41051
1205941016003	41301
1205941016702	41051
1205941016712	41051
1205941016713	41301
1205941016714	41301
1205941026002	41051
1205941026003	41301
1205941026702	41051
1205941026712	41051
1205941026713	41301
1205941026714	41301
1205981997002	81101
1205981997003	81201
1205981997702	81101
1205981997712	81101
1205981997713	81201
1205981997714	81201
1206311011002	11201
1206311011003	11201
1206311011702	11201
1206311011712	11201
1206311011713	11201
1206311011714	11201
1206341016002	41051
1206341016003	41301
1206341016702	41051
1206341016712	41051
1206341016713	41301
1206341016714	41301
1206341026002	41051
1206341026003	41301
1206341026702	41051
1206341026712	41051
1206341026713	41301
1206341026714	41301
1206381997002	81101
1206381997003	81201
1206381997702	81101
1206381997712	81101
1206381997713	81201
1206381997714	81201
1206511011002	11201
1206511011003	11301
1206511011702	11201
1206511011712	11201
1206511011713	11301
1206511011714	11301
1206541016002	41021
1206541016003	41201
1206541016702	41021
1206541016712	41021
1206541016713	41201
1206541016714	41201
1206541026002	41021
1206541026003	41201
1206541026702	41021
1206541026712	41021
1206541026713	41201
1206541026714	41201
1206581997002	81021
1206581997003	81101
1206581997702	81021
1206581997712	81021
1206581997713	81101
1206581997714	81101
1206741016002	41021
1206741016003	41101
1206741016702	41021
1206741016712	41021
1206741016713	41101
1206741016714	41101
1206741026002	41021
1206741026003	41101
1206741026702	41021
1206741026712	41021
1206741026713	41101
1206741026714	41101
1206781997002	81051
1206781997003	81201
1206781997702	81051
1206781997712	81051
1206781997713	81201
1206781997714	81201
1207311011002	11201
1207311011003	11201
1207311011702	11201
1207311011712	11201
1207311011713	11201
1207311011714	11201
1207341016002	41021
1207341016003	41201
1207341016702	41021
1207341016712	41021
1207341016713	41201
1207341016714	41201
1207341026002	41021
1207341026003	41201
1207341026702	41021
1207341026712	41021
1207341026713	41201
1207341026714	41201
1207381997002	81051
1207381997003	81101
1207381997702	81051
1207381997712	81051
1207381997713	81101
1207381997714	81101
1207511011002	11201
1207511011003	11301
1207511011702	11201
1207511011712	11201
1207511011713	11301
1207511011714	11301
1207541016002	41021
1207541016003	41101
1207541016702	41021
1207541016712	41021
1207541016713	41101
1207541016714	41101
1207541026002	41021
1207541026003	41101
1207541026702	41021
1207541026712	41021
1207541026713	41101
1207541026714	41101
1207581997002	81101
1207581997003	81301
1207581997702	81101
1207581997712	81101
1207581997713	81301
1207581997714	81301
1207711011002	11301
1207711011003	11301
1207711011702	11301
1207711011712	11301
1207711011713	11301
1207711011714	11301
1207741016002	41051
1207741016003	41401
1207741016702	41051
1207741016712	41051
1207741016713	41401
1207741016714	41401
1207741026002	41051
1207741026003	41401
1207741026702	41051
1207741026712	41051
1207741026713	41401
1207741026714	41401
1207781997002	81101
1207781997003	81301
1207781997702	81101
1207781997712	81101
1207781997713	81301
1207781997714	81301
1207911011002	11201
1207911011003	11301
1207911011702	11201
1207911011712	11201
1207911011713	11301
